Game,Team,Opponent,Win_Loss,Runs,Runs Allowed,Day_Night,Attendance,Team,HR Count
5,LAA,SEA,Win,5,1,Night,43911,LAA,2
5,LAD,COL,Loss,1,2,Day,49169,LAD,0
4,MIA,NYM,Win,7,2,Night,27891,MIA,1
5,MIL,CHC,Win,2,1,Night,28728,MIL,0
4,MIN,CHW,Win,3,1,Night,14004,MIN,0
4,NYM,MIA,Loss,2,7,Night,27891,NYM,1
4,NYY,BAL,Loss,5,6,Night,25248,NYY,2
5,OAK,TEX,Loss,5,10,Night,34235,OAK,2
4,PHI,WSN,Loss,6,7,Day,45121,PHI,2
3,PIT,ATL,Win,5,4,Day,36484,PIT,2
5,SDP,SFG,Win,7,6,Day,43441,SD,2
5,SEA,LAA,Loss,1,5,Night,43911,SEA,0
5,SFG,SDP,Loss,6,7,Day,43441,SF,2
4,STL,CIN,Loss,0,2,Night,44653,STL,0
5,TBR,TOR,Win,10,8,Night,12842,TB,1
4,TEX,OAK,Win,10,5,Night,34235,TEX,2
4,TOR,TBR,Loss,8,10,Night,12842,TOR,2
4,WSN,PHI,Win,7,6,Day,45121,WSH,3
6,ARI,CLE,Win,11,2,Night,28437,ARI,1
5,ATL,PIT,Loss,4,6,Night,31756,ATL,0
4,BAL,NYY,Win,5,4,Day,38916,BAL,0
4,BOS,DET,Loss,1,4,Day,32622,BOS,0
5,CHC,MIL,Win,11,6,Night,43080,CHC,0
4,CHW,MIN,Win,6,2,Day,23024,CHW,2
5,CIN,STL,Loss,4,10,Day,46558,CIN,2
5,CLE,ARI,Loss,2,11,Night,28437,CLE,0
6,COL,LAD,Win,4,2,Night,48012,COL,3
4,DET,BOS,Win,4,1,Day,32622,DET,2
6,HOU,KCR,Loss,3,7,Night,35373,HOU,1
5,KCR,HOU,Win,7,3,Night,35373,KC,3
6,LAA,SEA,Win,5,4,Night,42668,LAA,2
6,LAD,COL,Loss,2,4,Night,48012,LAD,1
5,MIA,NYM,Win,8,1,Night,33936,MIA,1
6,MIL,CHC,Loss,6,11,Night,43080,MIL,3
5,MIN,CHW,Loss,2,6,Day,23024,MIN,1
5,NYM,MIA,Loss,1,8,Night,33936,NYM,1
5,NYY,BAL,Loss,4,5,Day,38916,NYY,0
6,OAK,TEX,Win,6,1,Night,44410,OAK,1
5,PHI,WSN,Win,17,3,Night,37241,PHI,2
4,PIT,ATL,Win,6,4,Night,31756,PIT,0
6,SDP,SFG,Win,2,1,Night,42397,SD,0
6,SEA,LAA,Loss,4,5,Night,42668,SEA,1
6,SFG,SDP,Loss,1,2,Night,42397,SF,0
5,STL,CIN,Win,10,4,Day,46558,STL,2
6,TBR,TOR,Win,3,2,Night,21838,TB,0
5,TEX,OAK,Loss,1,6,Night,44410,TEX,1
5,TOR,TBR,Loss,2,3,Night,21838,TOR,0
5,WSN,PHI,Loss,3,17,Night,37241,WSH,0
7,ARI,CLE,Win,3,2,Day,30191,ARI,1
6,ATL,PIT,Loss,5,6,Day,22713,ATL,3
5,BAL,NYY,Loss,3,7,Day,42487,BAL,0
5,BOS,DET,Win,7,5,Day,33662,BOS,0
6,CHC,MIL,Win,7,4,Day,38483,CHC,2
5,CHW,MIN,Loss,1,4,Day,24074,CHW,0
6,CIN,STL,Win,8,0,Day,45200,CIN,2
6,CLE,ARI,Loss,2,3,Day,30191,CLE,0
7,COL,LAD,Loss,6,10,Day,33529,COL,1
5,DET,BOS,Loss,5,7,Day,33662,DET,1
7,HOU,KCR,Win,5,4,Day,32411,HOU,3
6,KCR,HOU,Loss,4,5,Day,32411,KC,3
7,LAA,SEA,Win,10,9,Day,37175,LAA,2
7,LAD,COL,Win,10,6,Day,33529,LAD,1
6,MIA,NYM,Loss,2,5,Night,27420,MIA,0
7,MIL,CHC,Loss,4,7,Day,38483,MIL,2
6,MIN,CHW,Win,4,1,Day,24074,MIN,2
6,NYM,MIA,Win,5,2,Night,27420,NYM,2
6,NYY,BAL,Win,7,3,Day,42487,NYY,1
7,OAK,TEX,Loss,1,8,Day,36905,OAK,0
6,PHI,WSN,Win,4,3,Day,36917,PHI,0
5,PIT,ATL,Win,6,5,Day,22713,PIT,1
7,SDP,SFG,Loss,3,5,Day,40537,SD,2
7,SEA,LAA,Loss,9,10,Day,37175,SEA,2
7,SFG,SDP,Win,5,3,Day,40537,SF,2
6,STL,CIN,Loss,0,8,Day,45200,STL,0
7,TBR,TOR,Win,7,2,Day,15341,TB,3
6,TEX,OAK,Win,8,1,Day,36905,TEX,2
6,TOR,TBR,Loss,2,7,Day,15341,TOR,1
6,WSN,PHI,Loss,3,4,Day,36917,WSH,1
8,ARI,SFG,Loss,1,4,Day,42129,ARI,1
6,BOS,DET,Loss,1,2,Day,24672,BOS,0
7,CHC,LAD,Win,3,2,Night,41166,CHC,0
7,CIN,PIT,Win,7,1,Night,28264,CIN,2
8,COL,SDP,Loss,3,5,Night,20504,COL,2
6,DET,BOS,Win,2,1,Day,24672,DET,1
8,HOU,SEA,Loss,0,6,Day,44856,HOU,0
7,KCR,OAK,Loss,0,2,Day,40019,KC,0
8,LAD,CHC,Loss,2,3,Night,41166,LAD,0
7,NYM,PHI,Win,4,3,Night,33359,NYM,2
7,NYY,TBR,Win,8,1,Day,46955,NYY,3
8,OAK,KCR,Win,2,0,Day,40019,OAK,1
7,PHI,NYM,Loss,3,4,Night,33359,PHI,1
6,PIT,CIN,Loss,1,7,Night,28264,PIT,0
8,SDP,COL,Win,5,3,Night,20504,SD,2
8,SEA,HOU,Win,6,0,Day,44856,SEA,0
8,SFG,ARI,Win,4,1,Day,42129,SF,0
7,STL,WSN,Loss,6,14,Night,27413,STL,1
8,TBR,NYY,Loss,1,8,Day,46955,TB,1
7,WSN,STL,Win,14,6,Night,27413,WSH,0
9,ARI,SFG,Win,4,3,Night,41562,ARI,0
7,ATL,MIA,Loss,4,8,Night,36519,ATL,1
6,BAL,BOS,Loss,1,8,Night,37497,BAL,0
7,BOS,BAL,Win,8,1,Night,37497,BOS,0
6,CHW,CLE,Loss,1,2,Day,35002,CHW,1
8,CIN,PIT,Win,6,2,Night,11027,CIN,2
7,CLE,CHW,Win,2,1,Day,35002,CLE,1
9,COL,SDP,Win,3,2,Night,20664,COL,3
7,DET,MIN,Win,2,1,Day,21237,DET,1
9,HOU,SEA,Win,7,5,Night,18527,HOU,1
8,LAA,TEX,Win,6,5,Night,34044,LAA,2
7,MIA,ATL,Win,8,4,Night,36519,MIA,2
8,MIL,TOR,Win,4,3,Night,48456,MIL,2
7,MIN,DET,Loss,1,2,Day,21237,MIN,0
8,NYM,PHI,Win,14,4,Night,28659,NYM,7
8,PHI,NYM,Loss,4,14,Night,28659,PHI,1
7,PIT,CIN,Loss,2,6,Night,11027,PIT,0
9,SDP,COL,Loss,2,3,Night,20664,SD,1
9,SEA,HOU,Loss,5,7,Night,18527,SEA,0
9,SFG,ARI,Loss,3,4,Night,41562,SF,0
8,STL,WSN,Loss,3,8,Night,30663,STL,2
7,TEX,LAA,Loss,5,6,Night,34044,TEX,2
7,TOR,MIL,Loss,3,4,Night,48456,TOR,0
8,WSN,STL,Win,8,3,Night,30663,WSH,3
10,ARI,SFG,Loss,2,6,Night,41656,ARI,0
8,ATL,MIA,Win,5,4,Night,16808,ATL,3
7,BAL,BOS,Win,12,5,Night,32211,BAL,5
8,BOS,BAL,Loss,5,12,Night,32211,BOS,1
8,CHC,LAD,Loss,0,2,Night,40844,CHC,0
7,CHW,CLE,Win,2,1,Night,15628,CHW,0
9,CIN,PIT,Win,9,2,Night,12327,CIN,0
8,CLE,CHW,Loss,1,2,Night,15628,CLE,0
10,COL,SDP,Loss,0,6,Day,20968,COL,0
8,DET,MIN,Win,5,3,Day,23738,DET,1
10,HOU,SEA,Win,10,5,Night,14479,HOU,0
8,KCR,OAK,Loss,3,8,Night,24380,KC,1
9,LAA,TEX,Loss,3,8,Night,34599,LAA,1
9,LAD,CHC,Win,2,0,Night,40844,LAD,1
8,MIA,ATL,Loss,4,5,Night,16808,MIA,2
9,MIL,TOR,Win,2,0,Night,29919,MIL,1
8,MIN,DET,Loss,3,5,Day,23738,MIN,1
9,NYM,PHI,Win,5,4,Night,28272,NYM,1
8,NYY,TBR,Win,8,4,Day,38002,NYY,1
9,OAK,KCR,Win,8,3,Night,24380,OAK,0
9,PHI,NYM,Loss,4,5,Night,28272,PHI,1
8,PIT,CIN,Loss,2,9,Night,12327,PIT,1
10,SDP,COL,Win,6,0,Day,20968,SD,1
10,SEA,HOU,Loss,5,10,Night,14479,SEA,2
10,SFG,ARI,Win,6,2,Night,41656,SF,0
9,STL,WSN,Win,6,1,Day,31647,STL,1
9,TBR,NYY,Loss,4,8,Day,38002,TB,1
8,TEX,LAA,Win,8,3,Night,34599,TEX,3
8,TOR,MIL,Loss,0,2,Night,29919,TOR,0
9,WSN,STL,Loss,1,6,Day,31647,WSH,0
8,BAL,TOR,Win,2,1,Night,32957,BAL,0
9,BOS,PIT,Win,4,3,Day,32400,BOS,0
9,CHC,LAD,Win,4,0,Day,38379,CHC,2
8,CHW,CLE,Win,10,4,Night,15060,CHW,2
10,CIN,MIL,Loss,1,5,Night,13574,CIN,0
9,CLE,CHW,Loss,4,10,Night,15060,CLE,2
11,COL,SFG,Win,3,1,Night,41915,COL,1
9,DET,MIN,Loss,5,11,Day,22573,DET,2
9,KCR,OAK,Win,3,1,Night,22160,KC,0
10,LAA,TEX,Loss,3,8,Day,30255,LAA,1
10,LAD,CHC,Loss,0,4,Day,38379,LAD,0
9,MIA,NYM,Loss,8,9,Night,23192,MIA,1
10,MIL,CIN,Win,5,1,Night,13574,MIL,2
9,MIN,DET,Win,11,5,Day,22573,MIN,3
10,NYM,MIA,Win,9,8,Night,23192,NYM,4
9,NYY,TBR,Win,3,2,Night,34772,NYY,2
10,OAK,KCR,Loss,1,3,Night,22160,OAK,1
9,PIT,BOS,Loss,3,4,Day,32400,PIT,1
11,SFG,COL,Loss,1,3,Night,41915,SF,0
10,TBR,NYY,Loss,2,3,Night,34772,TB,1
9,TEX,LAA,Win,8,3,Day,30255,TEX,2
9,TOR,BAL,Loss,1,2,Night,32957,TOR,0
11,ARI,LAD,Loss,1,7,Night,49438,ARI,0
9,ATL,SDP,Win,5,2,Night,41149,ATL,1
9,BAL,TOR,Win,6,4,Night,39547,BAL,4
10,BOS,TBR,Loss,5,10,Night,36813,BOS,0
10,CHC,PIT,Loss,2,4,Day,40430,CHC,0
9,CHW,MIN,Win,2,1,Night,18466,CHW,1
11,CIN,MIL,Loss,4,10,Night,23850,CIN,2
10,CLE,DET,Loss,6,7,Night,25423,CLE,1
12,COL,SFG,Loss,2,8,Night,42738,COL,0
10,DET,CLE,Win,7,6,Night,25423,DET,2
11,HOU,OAK,Win,7,2,Night,15385,HOU,1
10,KCR,LAA,Win,7,1,Night,26838,KC,2
11,LAA,KCR,Loss,1,7,Night,26838,LAA,0
11,LAD,ARI,Win,7,1,Night,49438,LAD,1
10,MIA,NYM,Win,3,2,Night,24194,MIA,0
11,MIL,CIN,Win,10,4,Night,23850,MIL,1
10,MIN,CHW,Loss,1,2,Night,18466,MIN,0
11,NYM,MIA,Loss,2,3,Night,24194,NYM,1
10,NYY,STL,Win,4,3,Night,39102,NYY,2
11,OAK,HOU,Loss,2,7,Night,15385,OAK,2
10,PHI,WSN,Loss,2,3,Day,38664,PHI,1
10,PIT,CHC,Win,4,2,Day,40430,PIT,0
11,SDP,ATL,Loss,2,5,Night,41149,SD,0
11,SEA,TEX,Win,2,1,Night,41855,SEA,1
12,SFG,COL,Win,8,2,Night,42738,SF,2
10,STL,NYY,Loss,3,4,Night,39102,STL,1
11,TBR,BOS,Win,10,5,Night,36813,TB,4
10,TEX,SEA,Loss,1,2,Night,41855,TEX,0
10,TOR,BAL,Loss,4,6,Night,39547,TOR,1
10,WSN,PHI,Win,3,2,Day,38664,WSH,0
12,ARI,LAD,Loss,4,8,Night,48070,ARI,1
10,ATL,SDP,Win,4,2,Night,41149,ATL,2
10,BAL,TOR,Loss,1,2,Day,40743,BAL,0
11,BOS,TBR,Win,2,1,Day,36686,BOS,1
11,CHC,PIT,Loss,7,8,Day,41814,CHC,2
10,CHW,MIN,Loss,0,6,Day,25938,CHW,0
12,CIN,MIL,Win,7,5,Day,31008,CIN,1
11,CLE,DET,Win,13,6,Day,26691,CLE,4
13,COL,SFG,Win,5,0,Day,42371,COL,1
11,DET,CLE,Loss,6,13,Day,26691,DET,1
12,HOU,OAK,Win,10,6,Day,20140,HOU,1
11,KCR,LAA,Win,3,2,Night,24162,KC,2
12,LAA,KCR,Loss,2,3,Night,24162,LAA,0
12,LAD,ARI,Win,8,4,Night,48070,LAD,2
11,MIA,NYM,Win,5,4,Night,25137,MIA,4
12,MIL,CIN,Loss,5,7,Day,31008,MIL,3
11,MIN,CHW,Win,6,0,Day,25938,MIN,0
12,NYM,MIA,Loss,4,5,Night,25137,NYM,1
11,NYY,STL,Win,3,2,Day,43031,NYY,0
12,OAK,HOU,Loss,6,10,Day,20140,OAK,2
11,PHI,WSN,Win,4,2,Day,35626,PHI,1
11,PIT,CHC,Win,8,7,Day,41814,PIT,4
12,SDP,ATL,Loss,2,4,Night,41149,SD,2
12,SEA,TEX,Win,5,0,Night,34927,SEA,1
13,SFG,COL,Loss,0,5,Day,42371,SF,0
11,STL,NYY,Loss,2,3,Day,43031,STL,2
12,TBR,BOS,Loss,1,2,Day,36686,TB,0
11,TEX,SEA,Loss,0,5,Night,34927,TEX,0
11,TOR,BAL,Win,2,1,Day,40743,TOR,1
11,WSN,PHI,Loss,2,4,Day,35626,WSH,1
13,ARI,LAD,Win,3,1,Day,39822,ARI,1
11,ATL,SDP,Win,9,2,Day,37147,ATL,1
11,BAL,TOR,Win,11,4,Day,38188,BAL,4
12,BOS,TBR,Win,7,5,Day,36209,BOS,1
12,CHC,PIT,Loss,1,6,Day,39422,CHC,0
11,CHW,MIN,Win,3,1,Day,19511,CHW,1
13,CIN,MIL,Loss,2,4,Day,12625,CIN,1
12,CLE,DET,Loss,1,4,Day,17739,CLE,0
14,COL,SFG,Win,4,3,Day,41455,COL,1
12,DET,CLE,Win,4,1,Day,17739,DET,1
12,KCR,LAA,Win,1,0,Day,27950,KC,0
13,LAA,KCR,Loss,0,1,Day,27950,LAA,0
13,LAD,ARI,Loss,1,3,Day,39822,LAD,0
12,MIA,NYM,Win,4,2,Day,20028,MIA,1
13,MIL,CIN,Win,4,2,Day,12625,MIL,3
12,MIN,CHW,Loss,1,3,Day,19511,MIN,1
13,NYM,MIA,Loss,2,4,Day,20028,NYM,0
12,NYY,STL,Win,9,3,Night,31706,NYY,2
12,PHI,WSN,Loss,4,6,Day,29774,PHI,1
12,PIT,CHC,Win,6,1,Day,39422,PIT,1
13,SDP,ATL,Loss,2,9,Day,37147,SD,1
13,SEA,TEX,Win,8,7,Day,19678,SEA,2
14,SFG,COL,Loss,3,4,Day,41455,SF,0
12,STL,NYY,Loss,3,9,Night,31706,STL,1
13,TBR,BOS,Loss,5,7,Day,36209,TB,2
12,TEX,SEA,Loss,7,8,Day,19678,TEX,2
12,TOR,BAL,Loss,4,11,Day,38188,TOR,1
12,WSN,PHI,Win,6,4,Day,29774,WSH,2
14,ARI,LAD,Win,4,2,Night,35448,ARI,1
